kobo_name,db_name,action,transform,notes
perimeter,,drop,none,not present in db_household_mortality
lat_ss,,drop,none,not present in db_household_mortality
long_ss,,drop,none,not present in db_household_mortality
note_gps_link,,drop,none,not present in db_household_mortality
household_no1,,drop,none,not present in db_household_mortality
household_no2,,drop,none,not present in db_household_mortality
household_no3,,drop,none,not present in db_household_mortality
household_no4,,drop,none,not present in db_household_mortality
household_no5,,drop,none,not present in db_household_mortality
household_no6,,drop,none,not present in db_household_mortality
household_no7,,drop,none,not present in db_household_mortality
household_no8,,drop,none,not present in db_household_mortality
household_no9,,drop,none,not present in db_household_mortality
household_no10,,drop,none,not present in db_household_mortality
check_location,,drop,none,not present in db_household_mortality
note_consent,,drop,none,not present in db_household_mortality
note4,,drop,none,not present in db_household_mortality
q_western,,drop,none,not present in db_household_mortality
note6,,drop,none,not present in db_household_mortality
note4400,,drop,none,not present in db_household_mortality
consented_females,,drop,none,not present in db_household_mortality
consented_counr,,drop,none,not present in db_household_mortality
val_comment,,drop,none,not present in db_household_mortality
note9001,,drop,none,not present in db_household_mortality
audio - transcript (ha),,drop,none,not present in db_household_mortality
audio - transcript (en),,drop,none,not present in db_household_mortality
name_input,,drop,none,not present in db_household_mortality
lc_gender,,drop,none,not present in db_household_mortality
input_phone,,drop,none,not present in db_household_mortality
_validation_status,,drop,none,not present in db_household_mortality
_notes,,drop,none,not present in db_household_mortality
_status,,drop,none,not present in db_household_mortality
_submitted_by,,drop,none,not present in db_household_mortality
__version__,,drop,none,not present in db_household_mortality
_tags,,drop,none,not present in db_household_mortality
meta/rootUuid,,drop,none,not present in db_household_mortality
